iter	Passed	Remaining
866	1993	305
867	1995	303
868	1997	301
869	1999	298
870	2002	296
871	2004	294
872	2006	291
873	2009	289
874	2011	287
875	2013	285
876	2016	282
877	2018	280
878	2021	278
879	2023	275
880	2025	273
881	2028	271
882	2030	269
883	2032	266
884	2035	264
885	2037	262
886	2039	259
887	2041	257
888	2044	255
889	2046	252
890	2048	250
891	2051	248
892	2053	246
893	2055	243
894	2057	241
895	2060	239
896	2062	236
897	2064	234
898	2066	232
899	2068	229
900	2071	227
901	2073	225
902	2076	223
903	2078	220
904	2080	218
905	2083	216
906	2085	213
907	2087	211
908	2089	209
909	2092	206
910	2094	204
911	2096	202
912	2099	200
913	2101	197
914	2103	195
915	2106	193
916	2108	190
917	2110	188
918	2112	186
919	2115	183
920	2117	181
921	2119	179
922	2122	177
923	2124	174
924	2126	172
925	2128	170
926	2131	167
927	2133	165
928	2135	163
929	2137	160
930	2140	158
931	2142	156
932	2144	154
933	2146	151
934	2149	149
935	2151	147
936	2153	144
937	2156	142
938	2158	140
939	2160	137
940	2163	135
941	2165	133
942	2167	131
943	2169	128
944	2172	126
945	2174	124
946	2176	121
947	2179	119
948	2181	117
949	2183	114
950	2186	112
951	2188	110
952	2190	108
953	2193	105
954	2195	103
955	2197	101
956	2200	98
957	2202	96
958	2204	94
959	2206	91
960	2209	89
961	2211	87
962	2213	85
963	2216	82
964	2218	80
965	2220	78
966	2223	75
967	2225	73
968	2227	71
969	2229	68
970	2232	66
971	2234	64
972	2236	62
973	2238	59
974	2241	57
975	2243	55
976	2245	52
977	2247	50
978	2250	48
979	2252	45
980	2254	43
981	2257	41
982	2259	39
983	2261	36
984	2264	34
985	2266	32
986	2268	29
987	2271	27
988	2273	25
989	2275	22
990	2278	20
991	2280	18
992	2282	16
993	2284	13
994	2287	11
995	2289	9
996	2291	6
997	2294	4
998	2296	2
999	2298	0
